,site,latitude,longitude,site_area,year_of_origin,site_shape,tree,species,angle,radius,year,has_any_damage,dead,snag,log,dbh,ba,height,crown_height,crown_width,category,site_type
10293,VA401,61.85789167,24.23838333,1600,1803,Circular,113,2,206,2150,2006,FALSE,FALSE,NA,NA,16.3,208.672438,NA,NA,NA,1,3
15569,VA401,61.85789167,24.23838333,1600,1803,Circular,113,2,206,2150,2019,FALSE,FALSE,FALSE,FALSE,17.3,235.0618163,NA,NA,NA,1,3
5255,VA401,61.85789167,24.23838333,1600,1803,Circular,114,2,211,1800,1993,FALSE,FALSE,NA,NA,17.93822734,252.725421,NA,NA,NA,1,3
10294,VA401,61.85789167,24.23838333,1600,1803,Circular,114,2,211,1800,2006,FALSE,FALSE,NA,NA,18.1901072,259.8725443,NA,NA,NA,1,3
15570,VA401,61.85789167,24.23838333,1600,1803,Circular,114,2,211,1800,2019,TRUE,TRUE,FALSE,TRUE,17.9,251.6494255,NA,NA,NA,3,3
5256,VA401,61.85789167,24.23838333,1600,1803,Circular,115,2,215,2020,1993,FALSE,FALSE,NA,NA,16.59969879,216.4164639,NA,NA,NA,1,3
10295,VA401,61.85789167,24.23838333,1600,1803,Circular,115,2,215,2020,2006,FALSE,FALSE,NA,NA,17.1,229.658277,NA,NA,NA,1,3
15571,VA401,61.85789167,24.23838333,1600,1803,Circular,115,2,215,2020,2019,TRUE,TRUE,FALSE,TRUE,17.2,232.3521927,NA,NA,NA,3,3
5257,VA401,61.85789167,24.23838333,1600,1803,Circular,116,1,219,2210,1993,FALSE,FALSE,NA,NA,30.04896005,709.1674177,252,181,NA,1,3
10296,VA401,61.85789167,24.23838333,1600,1803,Circular,116,1,219,2210,2006,FALSE,FALSE,NA,NA,31.38980726,773.8685184,268,205,NA,1,3
15572,VA401,61.85789167,24.23838333,1600,1803,Circular,116,1,219,2210,2019,FALSE,FALSE,FALSE,FALSE,32.43609101,826.3174077,280,224,155,1,3
5258,VA401,61.85789167,24.23838333,1600,1803,Circular,117,2,224,2080,1993,FALSE,FALSE,NA,NA,16.99264547,226.7837197,NA,NA,NA,1,3
10297,VA401,61.85789167,24.23838333,1600,1803,Circular,117,2,224,2080,2006,FALSE,FALSE,NA,NA,18.04438971,255.725642,NA,NA,NA,1,3
15573,VA401,61.85789167,24.23838333,1600,1803,Circular,117,2,224,2080,2019,FALSE,FALSE,FALSE,FALSE,19.49769217,298.5769658,NA,NA,NA,1,3
5259,VA401,61.85789167,24.23838333,1600,1803,Circular,118,2,224,1945,1993,FALSE,FALSE,NA,NA,15.59967948,191.1266431,NA,NA,NA,1,3
10298,VA401,61.85789167,24.23838333,1600,1803,Circular,118,2,224,1945,2006,FALSE,FALSE,NA,NA,16.64812302,217.680955,NA,NA,NA,1,3
